name	address	postcode	tel	website	latitude	longitude
Crustacean Restaurant	1475 Polk St	94109	(415) 776-2722	http://www.anfamily.com/restaurants/crustacean_sanfrancisco/displaypages/homepage.html	37.790358	-122.420706
China House Bar and Restaurant	2237 Powell St	94133	(415) 362-3838	http://www.chinahouselongbeach.com	37.805518	-122.411961
Creperie Saint Germain	222 2nd St	94105	(415) 706-9733	http://www.creperiesaintgermain.com	37.786634	-122.397976
Crepes Ooh La La	1220 Polk St	94109	(415) 409-4646		37.788117	-122.420145
Club Deluxe	1511 Haight St	94117	(415) 552-6949	http://www.sfclubdeluxe.com	37.769904	-122.447249
Chestnut Bakery	2359 Chestnut St	94123	(415) 567-6777	http://www.chestnutbakery.com	37.799985	-122.442149
Coffee Mine	79 9th St	94103	(415) 252-9795		37.776642	-122.415135
Custom Burger Lounge	121 7th St	94103	(415) 252-2634	http://www.jdvhotels.com/dining/custom	37.778624	-122.410051
Cotogna	490 Pacific Ave	94133	(415) 775-8508	http://www.cotognasf.com	37.79731	-122.40362
Cha Ya Vegetarian Japanese Restaurant	762 Valencia St	94110	(415) 252-7825	http://cha-ya.blogspot.com	37.760733	-122.421583
Coqueta	Pier 5	94111	(415) 704-8866	http://www.coquetasf.com	37.798435	-122.396557
Coffee Bar	1890 Bryant St	94110	(415) 551-8100	http://www.coffeebar-usa.com	37.763134	-122.410825
Chez Papa Resto	4 Mint Plz	94103	(415) 546-4134	http://www.chezpaparesto.com	37.782881	-122.407649
Club Six	60 6th St	94103	(415) 863-1221	http://www.clubsix1.com	37.781432	-122.409378
Cedar Hill	3242 Scott St	94123	(415) 834-5403	http://www.cedarhillsf.com	37.799836	-122.440999
Cha Cha CHA	2327 Mission St	94110	(415) 648-0504	http://www.cha3.com	37.759777	-122.419089
Claudine	8 Claude Ln	94108	(415) 362-1988	http://www.myclaudine.com	37.790293	-122.404263
Craw Station	1336 9th Ave	94122	(415) 682-9980	http://www.crawstation.com	37.763341	-122.466149
Chotto	3317 Steiner St	94123	(415) 441-2223	http://www.chottosf.com	37.79993	-122.43782
Contigo	1320 Castro St	94114	(415) 285-0250	http://www.contigosf.com	37.750978	-122.434172
Cupola Pizzeria	845 Market St	94103	(415) 896-5600	http://www.cupolasf.com	37.784391	-122.406271
Central Kitchen	3000 20th St	94110	(415) 826-7004	http://www.centralkitchensf.com	37.759254	-122.410884
Coco500	500 Brannan St	94107	(415) 543-2222	http://www.coco500.com	37.778285	-122.396793
Coi	373 Broadway	94133	(415) 393-9000	http://www.coirestaurant.com	37.798237	-122.403441
Dining Connections	568 Wisconsin St	94107	(415) 826-8933		37.760265	-122.399423
Dreyer's Grand Ice Cream	39 Pier	94133	(415) 398-3152	http://dreyers.com	37.809298	-122.410126
Drunken Sushi	1844 Balboa St	94121	(415) 876-2311		37.75833	-122.49468
Daffodil	665 Bush St	94108	(415) 343-0130	http://www.thedaffodilrestaurant.com	37.790244	-122.40844
Delicia	501 2nd St	94107	(415) 543-4444	http://www.delicasf.com	37.78326	-122.393112
Dinnerbroker	921 Front St	94111	(888) 432-8288		37.79996	-122.400295
Deli World	4695 Mission St	94112	(415) 334-3111		37.723182	-122.43574
Danny Coyle's	668 Haight St	94117	(415) 558-8375	http://www.dannycoyles.com	37.771824	-122.433232
Dong Baek Restaurant	631 Ofarrell St	94109	(415) 776-1898		37.785493	-122.415237
Domino's Pizza	3116 Noriega St	94122	(415) 681-8100	http://www.dominos.com	37.75343	-122.497137
Due Drop In	489 Church St	94114	(415) 626-3767	http://duedropin.com	37.763069	-122.42844
Darn Good Food	322 Kearny St	94108	(415) 402-5209	http://www.darngoodfood.com	37.791196	-122.404094
Dante's Seafood Grill	9 Fishermans Wharf	94133	(415) 421-5778		37.809521	-122.41689
Dance San Francisco - A Salsa Dance Academy	3214 Fillmore St	94123	(877) 507-3403		37.799257	-122.435818
Deli World	18 Ocean Ave	94112	(415) 334-3111		37.723923	-122.435849
Don Ramon's Mexican Restaurant	225 11th St	94103	(415) 864-2700	http://www.donramonsrestaurante.com	37.772833	-122.415104
Dianda's Italian American Pastry	2883 Mission St	94110	(415) 647-5469	http://www.diandasbakery.com	37.750921	-122.418279
Dalva	3121 16th St	94103	(415) 252-7740	http://www.myspace.com/186529294	37.764797	-122.422401
Daily Dose Cafe	401 Irving St	94122	(415) 664-5208		37.764128	-122.462167
Dogs On Board	1438 42nd Ave	94122	(415) 566-2601		37.759884	-122.501445
Don Chuys Mexi-Mercado	544 Excelsior Ave	94112	(415) 585-8092		37.723995	-122.429126
Domino's Pizza	876 Geary St	94109	(415) 776-0400	http://www.dominos.com	37.786294	-122.417669
Destino	1815 Market St	94103	(415) 552-4451	http://www.destinosf.com	37.771504	-122.42372
Dimples	1700 Post St	94115	(415) 775-6688		37.785614	-122.430157
Dumpling Kitchen	1935 Taraval St	94116	(415) 682-8938	http://www.letseat.at/dumplingkitchensf	37.742461	-122.486892
Domo	511 Laguna St	94102	(415) 861-8887	http://www.domosf.com	37.775929	-122.426199
Double Team Coffee	882 Bush St	94108	(415) 567-0915	http://www.doubleteamcoffee.com	37.789845	-122.411801
Days Inn San Francisco- Grove Street	465 Grove St	94102	(415) 864-4040		37.777555	-122.423959
Deli Plus Groceries	1900 Hayes St	94117	(415) 752-5155		37.773802	-122.447894
Delaney's Bar	2241 Chestnut St	94123	(415) 931-8529		37.80017	-122.440173
Daniels Cafe	154 Ellis St	94102	(415) 956-1760		37.785418	-122.408895
Dol Ho	808 Pacific Ave	94133	(415) 392-2828		37.79674	-122.408744
Dining Connections	414 Mason St	94102	(415) 362-8000	http://www.diningconnects.com	37.787376	-122.409822
D C	39 Pier	94133	(415) 956-9312		37.80914	-122.410054
Denny's	495 Beach St	94133	(415) 776-3700	http://www.dennys.com	37.806954	-122.417074
Del Monte Deli	2249 17th St	94103	(415) 431-9985		37.764534	-122.406697
Deli Pub	301 Cortland Ave	94110	(415) 285-1631	http://www.delipub.us	37.73936	-122.418487
Dewey Coffee Shop Restaurant	3320 Taraval St	94116	(415) 641-4879		37.741905	-122.501918
Danilo Bakery	516 Green St	94133	(415) 989-1806	http://www.danilobakery.com	37.800027	-122.408565
Destination Baking Co.	598 Chenery St	94131	(415) 469-0730	http://www.destinationbakingcompany.com	37.734636	-122.432268
Daddy Boys Pizza	4524 3rd St	94124	(415) 206-1488		37.736923	-122.390062
David Rio Coffee and Tea	1160 Illinois St	94107	(415) 285-0250	http://www.davidrio.com	37.757078	-122.387539
Dish	39 Mesa St	94129	(415) 561-2336	http://www.acregourmet.com/ourservices/concessions.html	37.800141	-122.455962
Drunken Sushi	2311 Clement St	94121	(415) 876-2311	http://www.facebook.com/pages/San-Francisco-CA/Drunken-Sushi/11341089725	37.781993	-122.484082
Darwin Cafe	212 Ritch St	94107	(415) 800-8668	http://www.darwincafesf.com	37.78069	-122.396142
Dobbs Ferry Restaurant	409 Gough St	94102	(415) 551-7700	http://www.dobbsferrysf.com	37.77705	-122.423087
Dining In	425 Barneveld Ave	94124	(415) 255-2433	http://www.dininginsf.com	37.741307	-122.403607
Dos Amigos Taqueria	5130 Mission St	94112	(415) 441-0405		37.716571	-122.441191
Dolby Cafe	999 Brannan St	94103	(415) 861-1379	http://www.dolby.com	37.770101	-122.4066
Donna's Tamales	1 Ferry Building	94199	(415) 456-2191	http://www.donnastamales.com	37.795197	-122.3930184
Devil's Teeth Baking Company	3876 Noriega St	94122	(415) 683-5533	http://www.devilsteethbakingcompany.com	37.753074	-122.505016
Dona Tere's Market	2780 21st St	94110	(415) 401-8031		37.757566	-122.410414
Denny's Cafe	5530 Geary Blvd	94121	(415) 386-3288	http://www.dennys.com/en	37.780505	-122.478847
Dan Hong Lei	648 Pacific Ave	94133	(415) 834-1890		37.797059	-122.406308
Design Cafe	930 Stockton St	94108	(415) 399-1883		37.794662	-122.407838
District	216 Townsend St	94107	(415) 896-2120	http://www.districtsf.com	37.778569	-122.39327
Dragon City Restaurant	1033 Taraval St	94116	(415) 681-3838		37.742801	-122.477286
DAVIDsTEA	2123 Polk St	94109	(415) 567-8373	http://www.davidstea.com	37.796373	-122.422028
Diva's	1081 Post St	94109	(415) 474-3482	http://www.divassf.com	37.786724	-122.419516
Dogzilla Cafe	215 Fremont St	94105	(415) 442-1889	http://dogzillacafe.com	37.78909	-122.394549
Delicious Dim Sum	752 Jackson St	94133	(415) 781-0721		37.795929	-122.407423
Dynamo Donut and Coffee	110 Yacht Rd	94123	(415) 920-1978	http://www.dynamodonut.com	37.807945	-122.442438
Delirium	3139 16th St	94103	(415) 552-5525		37.764789	-122.42283
Deli Shop	5214 Diamond Heights Blvd	94131	(415) 824-7744	http://www.safeway.com	37.744608	-122.439005
Dogpatch WineWorks	2455 3rd St	94107	(415) 525-4440	http://www.dpwineworks.com/index.php?p=tastingroom	37.758479	-122.388083
De Afghanan Kabob House	1035 Geary St	94109	(415) 929-1124	http://www.deafghanancuisine.com	37.78577	-122.420359
Damami	759 Columbus Ave	94133	(415) 296-9907		37.801694	-122.41228
Debbie Does Dinner	710 Florida St	94110	(415) 643-6438	http://www.debbiedoesdinner.com	37.760225	-122.411076
Dickki Restaurant	2435 Noriega St	94122	(415) 242-0626		37.75351	-122.489805
Diamond Corner Cafe	751 Diamond St	94114	(415) 282-9551	http://cafeponte.net	37.751502	-122.436092
Dottie's True Blue Cafe	28 6th St	94103	(415) 885-2767	http://dotties.biz	37.781773	-122.409875
Desiree	39 Mesa St	94129	(415) 561-2336		37.798693	-122.457178
Dosa	995 Valencia St	94110	(415) 642-3672	http://dosasf.com	37.757062	-122.421043
Donaghys Bar	1849 Lincoln Way	94122	(415) 681-3558		37.765343	-122.477969
Doggie Diner	24 Willie Mays Plz	94107	(415) 564-6052		37.77712	-122.41964
Delica Rf 1	353 Sutter St	94108	(415) 834-0344	http://www.delicarf1.com	37.789476	-122.406244
Delany's Restaurant	710 Polk St	94109	(415) 440-2022	http://www.delanysrestaurant.com	37.783392	-122.419217
drink. Event Bartending	1915 Hyde St	94109	(415) 702-5431		37.798502	-122.418948
Doña Mago	2926 16th St	94103	(415) 573-8586	http://donamagomexicanrestaurant.weebly.com	37.765273	-122.418036
Dark Horse Inn	942 Geneva Ave	94112	(415) 469-5508	http://www.darkhorseinn.com	37.716068	-122.440497
Dash San Francisco	153 Townsend St	94107	(415) 992-6899	http://dashman.com	37.779555	-122.391551
Death Guild	375 11th St	94103	(415) 626-1409	http://www.deathguild.com	37.770987	-122.412707
Dolores Corner	1600 Dolores St	94110	(415) 695-1745	http://dolorescorner.wordpress.com	37.743829	-122.424576
Don Pisto's	510 Union St	94133	(415) 395-0939	http://www.donpistos.com	37.80068	-122.40785
Doc's Clock	2575 Mission St	94110	(415) 824-3627	http://www.docsclock.com	37.755871	-122.418752
Da Beef	300 7th St	94103	(760) 815-4856	http://www.dabeef.com	37.776423	-122.407933
Dunya	1609 Polk St	94109	(415) 400-5770	http://www.dunyasf.com	37.791738	-122.421012
Dartealing Lounge	470 3rd St	94107	(415) 644-0142	http://dartealing.com	37.781684	-122.396386
Dibbs BBQ and Grill	1109 Fillmore St	94115	(415) 674-1301	http://www.dibbsbbq.com	37.779768	-122.432126
Dada	86 2nd St	94105	(415) 357-1367	http://www.dadasf.com	37.788291	-122.40007
Dirty Trix Saloon	408 Clement St	94118	(415) 387-1400	http://www.dirtytrix.com	37.783043	-122.463815
Drip Coffee Co.	450 Stanyan St	94117	(415) 750-1964		37.773702	-122.454401
Don Agapito's	100 Gough St	94102	(415) 863-4149	http://www.donagapitos.com	37.774175	-122.42235
Danville Produce	1986 Jerrold Ave	94124	(415) 642-7455		37.74307	-122.396356
De La Paz Coffee	933 Treat Ave	94110	(415) 525-4344		37.755246	-122.413149
Double K Cafe	2650 3rd St	94107	(415) 282-9999	http://www.doublekcafe.com	37.756075	-122.388328
Dino's Pizza	2101 Fillmore St	94115	(415) 922-4700	http://www.dinos-sf.com	37.788996	-122.433935
Dear Mom	2700 16th St	94103	(415) 625-3362	http://www.dearmomsf.com	37.765527	-122.413217
Donut World	1100 Market St	94102	(415) 558-8792	http://www.doughnutplant.com	37.780899	-122.412244
Deli Club	595 Market St	94105	(415) 543-2568		37.789398	-122.401182
Double Dutch	3192 16th St	94103	(415) 503-1670	http://www.thedoubledutch.com	37.764877	-122.423842
Durty Nelly's	2328 Irving St	94122	(415) 664-2555	http://www.durtynellys-sf.com	37.763426	-122.482978
Dusty Buns	428 11th St	94103	(559) 486-2867	http://www.dustybuns.com	37.769769	-122.412049
Donairo's Pizza	6905 Geary Blvd	94121	(415) 831-8288	http://www.donairospizzasf.com	37.779721	-122.493324
Domino's Pizza	1408 Fillmore St	94115	(415) 593-9300	http://www.dominos.com	37.782537	-122.432532
Deli 23	2449 23rd St	94110	(415) 642-3400		37.754377	-122.404243
Dirty Thieves	3050 24th St	94110	(415) 824-1922	http://www.myspace.com/dirty_thieves	37.752676	-122.413055
Dimension 7	150 Folsom St	94105	(503) 657-6678		37.789982	-122.391404
Darren's Cafe	2731 Taylor St	94133	(415) 673-3345	http://www.facebook.com/pages/Darrens-Cafe/115735961771527	37.807632	-122.415804
Durso Cafe & Juice Bar	236 Townsend St	94107	(415) 369-9442	http://www.dursocafe.com	37.778167	-122.393721
Da Flora	701 Columbus Ave	94133	(415) 981-4664	http://daflorasf.com	37.801174	-122.411618
Dos Amigos Taqueria	595 Geary St	94102	(415) 441-0405		37.786687	-122.412968
Delica rf-1	1 Ferry Building	94111	(415) 834-0344	http://www.delicasf.com	37.795587	-122.39348
David's Deli Restaurant	474 Geary St	94102	(415) 276-5950	http://www.davidsdelicatessen.com	37.787072	-122.411074
Dash Cafe	420 Judah St	94122	(415) 661-1237	http://www.facebook.com/pages/Dash-Cafe/173157692709345	37.762233	-122.466519
Dolce Gelato	916 Sutter St	94109	(415) 776-2447		37.788389	-122.415561
Donut World	1399 9th Ave	94122	(415) 665-4240	http://www.doughnutplant.com	37.762304	-122.466323
Dovre Club	1498 Valencia St	94110	(415) 285-4169	http://www.facebook.com/pages/san-franc	37.749041	-122.420372
Dinosaurs 2	2522 Ocean Ave	94132	(415) 334-1421		37.73139	-122.472355
Dirty Martini	611 Folsom St	94107	(415) 775-5110		37.785333	-122.397013
Donut World	5401 Geary Blvd	94121	(415) 752-0405	http://www.doughnutplant.com	37.780262	-122.477369
Drunken Saint	3565 Geary Blvd	94118	(415) 668-1228		37.781178	-122.457265
Doidge's	2217 Union St	94123	(415) 921-2149		37.796933	-122.43585
Doobu	1723 Buchanan St	94115	(415) 292-6002		37.785998	-122.430042
Darbar Restaurant	1412 Polk St	94109	(415) 359-1236	http://www.darbarsf.com	37.78987	-122.420491
Dick Lee Pastry Shop	777 Jackson St	94133	(415) 397-0788	http://www.dickleepastry.page.tl	37.795881	-122.407449
Darosareo Mexican Restaurant	287 Santa Rosa Ave	94112	(415) 584-2618		37.728619	-122.439682
Dottie's True Blue Cafe	522 Jones St	94102	(415) 885-2767		37.7861	-122.413001
Delessio Market and Bakery	1695 Market St	94103	(415) 552-5559	http://www.delessiomarket.com	37.772691	-122.422173
Duc Ky Restaurant	491 Ellis St	94102	(415) 928-5188		37.784623	-122.414194
Dos Pinas	251 Rhode Island St	94103	(415) 252-8220	http://www.dospinas.com	37.766544	-122.402663
Diller's	348 Pine St	94104	(415) 391-5650	http://www.dillersdeli.com	37.792075	-122.401771
Deja Vu Pizza and Pasta	3227 16th St	94103	(415) 255-1600	http://www.dejavupizzapasta.com	37.764685	-122.424718
Daddy's	440 Castro St	94114	(415) 621-8732		37.761876	-122.435178
Denny's	816 Mission St	94103	(415) 243-8800	http://www.dennys.com	37.784261	-122.404784
Derby Grill	24 Willie Mays Plz	94107	(408) 294-4699	http://sanfrancisco.giants.mlb.com/sf/ballpark/concessions.jsp	37.778228	-122.389589
Denny's Fishermans Wharf	495 Beach	94102	(415) 776-3700		37.807079	-122.417031
Dojima Ann	219 Ofarrell St	94102	(415) 956-0838		37.786323	-122.408423
Daily Grill	347 Geary St	94102	(415) 616-5000	http://www.dailygrill.com	37.787231	-122.408957
Deli De Leon	855 Bryant St	94103	(415) 864-3354	http://delideleon.ambz.com	37.775033	-122.403608
Deli	124 Montgomery St	94104	(415) 781-2727		37.790309	-122.402153
Duboce Park Cafe	2 Sanchez St	94114	(415) 621-1108	http://www.doloresparkcafe.org	37.769247	-122.43154
Daily Health Food and Deli	1235 9th Ave	94122	(415) 681-7675	http://www.dailyhealth9.com	37.765535	-122.466508
D and A Cafe	407 Clement St	94118	(415) 668-7882	http://www.singtaoyp.com	37.782875	-122.463574
Dolce Italia Cookies	1058 Folsom St	94103	(415) 655-3306		37.777665	-122.407082
Dirty Martini	2801 Leavenworth St	94133	(415) 775-5110	http://www.dirtymartinisf.com	37.807046	-122.419238
DNA Lounge	375 11th St	94103	(415) 626-1409	http://www.dnalounge.com	37.771009	-122.412713
Dong Bei Mama	4737 Geary Blvd	94118	(415) 221-4278	http://www.pandacountrykitchen.com	37.78056	-122.470284
Domino's Pizza	320 Bay Shore Blvd	94124	(415) 647-8400	http://www.dominos.com	37.742733	-122.405632
Dragon Well Restaurant	2142 Chestnut St	94123	(415) 474-6888	http://www.dragonwell.com	37.800616	-122.438623
Dinosaurs	16th Street At Prosper	94114	(415) 503-1421		37.764114	-122.431671
Donuts and Things	1549 Polk St	94109	(415) 885-1942		37.791181	-122.420938
Dolce Amore	1477 Van Ness Ave	94109	(415) 674-7716	http://www.dolceamore.co	37.789298	-122.422163
Double Rainbow Gourmet Ice Crm	275 S Van Ness Ave	94103	(415) 861-5858	http://www.doublerainbow.com	37.768851	-122.417482
Drewes Bros. Meats	1706 Church St	94131	(415) 821-0515	http://www.drewesbros.com	37.743507	-122.426827
Delfina Restaurant	3621 18th St	94110	(415) 552-4055	http://www.delfinasf.com	37.761493	-122.424296
Dong Baek	631 Ofarrell St	94109	(415) 776-1898		37.785556	-122.415168
DeLise	327 Bay St	94133	(415) 399-9694	http://www.delisesf.com	37.805769	-122.412558
Deli Board	1080 Howard St	94103	(415) 552-7687	http://www.deliboardsf.com	37.778393	-122.408938
Dagwood and Scoops	2736 24th St	94110	(415) 814-3459	http://www.dagwoodandscoops.com	37.753023	-122.407169
Daffodil Restaurant	665 Bush St	94108	(415) 343-0130	http://www.thedaffodilrestaurant.com	37.790054	-122.40841
Dupont Thai	803 Cortland Ave	94110			37.738924	-122.414461
Doc PopCorn	Pier 39	94133	(415) 810-4685	http://www.docpopcorn.com	37.809304	-122.4101
Duong Dong Cafe	315 Leavenworth St	94102	(415) 359-0215		37.783921	-122.414383
Drip'd	1352A 9th Ave	94122	(352) 298-4283	http://www.dripdcoffee.com	37.763051	-122.466267
Diverge	1190 Folsom St	94103	(903) 657-6678	http://www.diemaschinen.com	37.775342	-122.409803
Dave's Sausage Fingers	123 Main St	94105	(415) 555-1212		37.7915	-122.39447
Dak Win Restaurant	2845 Mission St	94110	(415) 285-4455	http://www.dwchinesefood.com	37.751533	-122.4183
Dragon City Bakery and Cafe	2367 Mission St	94110	(415) 821-9718	http://www.dragoncitybakery.com	37.759063	-122.419029
Duffy's Irish Pub	1451 Larkin St	94109	(415) 771-1591	http://www.thefrontroom-sf.com	37.791428	-122.419462
Deli World	2332 Moraga St	94122	(415) 334-3111		37.755678	-122.488113
Drake	508 4th St	94107	(415) 896-0168	http://www.drakesf.com	37.779288	-122.398037
Downey Street Events	216 Downey St	94117	(415) 505-6745	http://www.downeystreetevents.com	37.764955	-122.446637
Ducca	50 3rd St	94103	(415) 977-0271	http://www.duccasf.com	37.786622	-122.40292
Dine	662 Mission St	94105	(415) 538-3463		37.786936	-122.401215
Double Rainbow	519 Powell St	94108	(415) 982-3097	http://www.doublerainbow.com	37.789498	-122.408764
Daralsiker Cafe	1118 Polk St	94109	(415) 674-7670		37.787196	-122.419891
DAFCO Vending Services	1270 Underwood Ave	94124	(415) 822-3515	http://www.dafcovending.com	37.726456	-122.385778
Durso Cafe and Juice Bar	236 Townsend St	94107	(415) 369-9442	http://www.dursocafe.com	37.778126	-122.393696
Domino's Pizza	5200 Geary Blvd	94118	(415) 387-3030	http://www.dominos.com	37.780719	-122.475583
Donut Times	2401 Noriega St	94122	(415) 753-8997		37.753613	-122.489419
Dragon Lounge	1355 Taraval St	94116	(415) 566-7700		37.742757	-122.480924
Deli Golden Chichen	1001 S Van Ness Ave	94110	(415) 642-0104		37.75706	-122.416497
Dragon River Restaurant	5045 Geary Blvd	94118	(415) 387-6698		37.780484	-122.473465
Double Play	2401 16th St	94103	(415) 621-9859	http://www.doubleplaysf.com	37.765506	-122.410674
Daily Zen Bento	2800 Bryant St	94110	(415) 285-8863	http://www.dailyzenbento.net	37.748799	-122.408779
Dante's Table	544 Castro St	94114	(415) 529-2797	http://www.dantestable.com	37.76015	-122.435199
Dinosaurs	2275 Market St	94114	(415) 503-1421	http://www.eatdinosaurs.com	37.764522	-122.43205
Deli King	1143 Taraval St	94116	(415) 664-5464	http://www.delikingsf.com	37.742905	-122.478506
Delessio Market and Bakery	302 Broderick St	94117	(415) 552-8077	http://www.delessiomarket.com	37.773036	-122.43901
Double Decker	465 Grove St	94102	(415) 552-8042	http://www.doubledeckersf.com	37.777572	-122.424031
Delicias Salvadorenas	2498 Folsom St	94110	(415) 375-2635	http://www.deliciassalvadorenas.com	37.757314	-122.414551
Dux	780 Valencia St	94110	(415) 861-5330	http://www.duxsf.blogspot.com	37.760564	-122.421597
Dixie	1 Letterman Dr	94129	(415) 829-3363	http://www.sfdixie.com	37.79885	-122.448581
Doña Marta	499 Ellis St	94102	(415) 574-9617		37.784635	-122.414339
Dr Teeth and the Electric Mayhem	2323 Mission St	94110	(415) 285-2380	http://www.facebook.com/pages/Dr-Teeth-and-the-Electric-Mayhem/267080146648401	37.759831	-122.419089
Dogpatch Cafe and Gallery	2295 3rd St	94107	(415) 255-9982	http://www.dogpatchcafe.com	37.760625	-122.38841
Dave's	29 3rd St	94103	(415) 495-6726		37.787202	-122.403088
Delica	1746 Post St	94115	(415) 834-0344	http://www.delicasf.com	37.785588	-122.430433
Delarosa	2175 Chestnut St	94123	(415) 673-7100	http://www.delarosasf.com	37.800384	-122.439075
Dell'Uva	565 Green St	94133	(415) 393-9930	http://www.delluvasf.com	37.799575	-122.408287
Deli Rhea S	800 Valencia St	94110	(415) 282-5255		37.759935	-122.421509
DragonEats	520 Gough St	94102	(415) 795-1469	http://www.dragoneats.com	37.778098	-122.423266
DOSA on Fillmore	1700 Fillmore St	94115	(415) 441-3672	http://dosasf.com	37.78529	-122.432939
Dogpatch Saloon	2496 3rd St	94107	(415) 643-8592	http://dogpatchsaloon.com	37.758071	-122.388368
Dandelion Chocolate	740 Valencia St	94110	(415) 349-0942	http://www.dandelionchocolate.com	37.761019	-122.421717
Dynamo Donut and Coffee	2760 24th St	94110	(415) 920-1978	http://www.dynamodonut.com	37.752979	-122.407643
Da Pitt	705 Divisadero St	94117	(415) 440-7427	http://dapittbbq.com	37.776141	-122.438215
Davies Symphony Hall	201 Van Ness Ave	94102	(415) 864-6000	http://daviessymphonyhall.org	37.777937	-122.420608
Driftwood	1225 Folsom St	94103		http://driftwoodbarsf.com	37.774652	-122.410443
De La Paz Coffee Roasters	1081 Mission St	94103	(415) 525-4344	http://www.delapazcoffee.com	37.779616	-122.410366
Deli Board	1058 Folsom St	94103	(415) 552-7687	http://www.deliboardsf.com	37.777531	-122.406999
Dolores Park Cafe	501 Dolores St	94110	(415) 621-2936	http://www.doloresparkcafe.org	37.761302	-122.425907
Dirty Habit	12 4th St	94103	(415) 348-1555	http://www.dirtyhabitsf.com	37.785198	-122.405706
Emile's Coffee and Tea	614 Polk St	94102	(415) 673-1081	http://www.emilescoffee.com	37.782415	-122.418957
El Toro Night Club	2470 San Bruno Ave	94134	(415) 468-0670	http://www.myspace.com/eltoronightclub	37.730707	-122.404997
Educated Palate	88 4th St	94103	(415) 908-7522	http://www.ccsf.edu/dtn/palate	37.784724	-122.404554
Espetus	1686 Market St	94102	(415) 552-8792	http://www.espetus.com	37.77317	-122.4221
Elegant Chinese Seafood Restaurant	1919 Ocean Ave	94127	(415) 585-1919		37.725371	-122.462685
Escape From New York Pizza	333 Bush St	94104	(415) 421-0700	http://www.escapefromnewyorkpizza.com	37.790763	-122.403037
Espresso Francesco	870 Market St	94102	(415) 986-4959		37.784909	-122.406893
Emperors Kitchen	418 Larkin St	94102	(415) 922-0380		37.781655	-122.417035
Ethnic Dance Festival	3301 Lyon St	94123	(415) 563-6504		37.802125	-122.448087
Ebates	333 Bryant St	94107	(415) 618-0322	http://www.ebates.com	37.783835	-122.392063
Easy Creole	718 14th St	94114	(415) 347-5640	http://www.easycreole.com	37.767782	-122.429429
El Rio	3158 Mission St	94110	(415) 282-3325	http://www.elriosf.com	37.746727	-122.419493
Elite Audio Coffee Bar	893A Folsom St	94107	(415) 795-1149	http://www.eliteaudiosf.com	37.780572	-122.403075
Evergreen Garden Restaurant	3100 18th St	94110	(415) 621-8531	http://www.theevergreen.us	37.762344	-122.413009
Eno	320 Geary St	94102	(415) 678-5321	http://www.enowinerooms.com	37.787325	-122.40882
El Bandido	4479 Mission St	94112	(415) 586-9907		37.726558	-122.433236
El Norteno Taco Truck	Harriet St	94103	(415) 756-1220		37.775572	-122.402996
Elevated Cusine	77 29th St	94110	(415) 652-5450	http://www.elevatecuisine.com	37.743956	-122.42222
Empero Taste	4052 Balboa St	94121	(415) 876-3298		37.775529	-122.502305
Escape From New York Pizza	508 Castro St	94114	(415) 252-1515	http://www.escapefromnewyorkpizza.com	37.760699	-122.435013
El Valenciano Restaurant and Bar	1153 Valencia St	94110	(415) 826-9561		37.754477	-122.420752
Eddie's Cafe	800 Divisadero St	94117	(415) 563-9780	http://grubgirl.com	37.77695	-122.438091
Eight Lounge	1151 Folsom St	94103	(415) 431-1151	http://www.ravenbarsf.com	37.775782	-122.408923
Engine Works	190 Capp St	94110	(415) 563-8941		37.763651	-122.418502
El Faro Mexican Foods	82 1st St	94105	(415) 495-4426	http://www.elfaromexicanrestaurant.com	37.789921	-122.397858
Elmira Rosticceria	154 McAllister St	94102	(415) 551-7332	https://www.facebook.com/ElmiraSanFrancisco	37.780881	-122.414702
Eat Le Truc	450 Harrison St	94105	(415) 904-8782		37.786327	-122.392739
Eastern Bakery	1300 Mason St	94133	(415) 433-8881	http://easternbakery.com	37.795508	-122.411508
Elsy's Restaurant	2893 Mission St	94110	(415) 642-0104	http://www.elsysrestaurant.com	37.750825	-122.418273
Eat Restaurant	2199 Mission St	94110	(415) 375-2321	http://www.eatrestaurantsf.com	37.761946	-122.419279
El Majahual Restaurant	1142 Valencia St	94110	(415) 821-7514	http://www.forored.com/Majahual	37.754637	-122.420975
Eagle's Drift In Lounge	1232 Noriega St	94122	(415) 661-0166		37.754286	-122.477095
El Paraiso Cafe	1198 Treat Ave	94110	(415) 824-2535		37.751057	-122.412942
Eve	575 Howard St	94105	(415) 543-5874	http://www.eveloungesf.com	37.787229	-122.397472
El Amigo Bar	3355 Mission St	94110	(415) 824-1940		37.742978	-122.421368
Exit Theatre	156 Eddy St	94102	(415) 673-3847	http://www.theexit.org	37.784402	-122.410229
El Toro Taqueria	598 Valencia St	94110	(415) 431-3351	http://sfeltoro.com	37.763393	-122.421866
Espresso Roma Cafe	3130 Fillmore St	94123	(415) 749-1715	http://www.espressoroma.com	37.798605	-122.435745
Estia Restaurant	316 Columbus Ave	94133	(415) 433-1433	http://www.foodyoyo.com/restaurants/estia_greek_restaurant.html	37.798084	-122.40684
Epic Roasthouse	369 The Embarcadero	94105	(415) 369-9955	http://www.epicroasthousesf.com	37.790723	-122.389294
El Rancho Grande	855 Divisadero St	94117	(415) 673-8226		37.777606	-122.438395
